team_name,game,game_hole,game_black_hole,step,hole,black_hole,all_hole,ave_hole,ave_black_hole
CYRUS,5,0,0,32924,0,0,0,0.0,0.0
DML-2D,3,0,0,19850,0,0,0,0.0,0.0
FCPGPR2020,3,1,1,20879,1,1,2,0.33,0.33
FRA-UNIted,7,1,1,39562,2,2,4,0.29,0.29
HELIOS2019,5,0,0,33144,0,0,0,0.0,0.0
ITAndroids,2,0,0,13594,0,0,0,0.0,0.0
KN2C,4,0,0,27328,0,0,0,0.0,0.0
Mars,2,0,0,13594,0,0,0,0.0,0.0
Namira,3,1,1,20580,1,1,2,0.33,0.33
opuSCOM2020,5,0,0,33834,0,0,0,0.0,0.0
Oxsy,6,0,0,39661,0,0,0,0.0,0.0
Razi,6,0,0,34422,0,0,0,0.0,0.0
Ri-one,2,0,0,13174,0,0,0,0.0,0.0
Riton,4,0,0,20629,0,0,0,0.0,0.0
YuShan2020,3,0,0,13423,0,0,0,0.0,0.0
AVE,60,3,3,376598,4,4,8,0.07,0.07
